mode,network,policy,L,mu,N,w,p,corr_w_c,K,warmup,num_seeds,pilot_K,pilot_warmup,num_pilot_seeds,lambda_hat_sum,qd_iso2_lambda_sum,lambda_link,nu_edge,weighted_dest_aoi,stage1_used_frac,stage2_used_frac,stage2_idle_empty_frac,total_VOQ_arrival_rate,total_delivery_rate,total_overwrite_rate,weighted_dest_aoi_se,final_upstream_debt,avg_upstream_debt,final_downstream_debt,avg_downstream_debt,gap_vs_iso_lambda_pct
full,det_aligned,SRP-iso,5,0.4,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.95, 0.85, 0.7, 0.55, 0.4, 0.28, 0.18, 0.1]",-0.5508438705571701,20000,2000,3,50000,5000,3,0.17885925925925927,0.17885925925925927,235.47100196674,0.0,70.49568822337962,1.0,0.4383888888888889,0.5616111111111112,0.17385185185185184,0.17355555555555557,0.00031481481481481486,0.1608217387715944,,,,,47.06506312755303
full,det_aligned,SRP-tandem-LB,5,0.4,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.95, 0.85, 0.7, 0.55, 0.4, 0.28, 0.18, 0.1]",-0.5508438705571701,20000,2000,3,50000,5000,3,0.17885925925925927,0.17885925925925927,235.47100196674,0.0,69.80150405092593,1.0,0.43850000000000006,0.5615,0.1741111111111111,0.17381481481481484,0.0003333333333333333,0.24936470281659265,,,,,45.616886058615755
full,det_conflict,Joint FGMW,3,0.12,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.1, 0.18, 0.28, 0.4, 0.55, 0.7, 0.85, 0.95]",0.9988795939936962,20000,2000,3,50000,5000,3,0.1621111111111111,0.12000000000000917,0.0,2618.7241415390745,93.84638961226851,1.0,0.9771481481481481,0.02285185185185185,0.17144444444444443,0.11707407407407407,0.054314814814814816,0.8398007355602157,,,,,1.7398312957908502
full,det_conflict,iso1 + iso2-lambda,3,0.12,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.1, 0.18, 0.28, 0.4, 0.55, 0.7, 0.85, 0.95]",0.9988795939936962,20000,2000,3,50000,5000,3,0.1621111111111111,0.12000000000000917,0.0,2618.7241415390745,92.24154239004629,1.0,0.9727222222222224,0.027277777777777776,0.16348148148148148,0.11655555555555557,0.04688888888888889,0.3074726504995884,,,,,0.0
full,det_conflict,Downstream-Aware MW,3,0.12,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.1, 0.18, 0.28, 0.4, 0.55, 0.7, 0.85, 0.95]",0.9988795939936962,20000,2000,3,50000,5000,3,0.1621111111111111,0.12000000000000917,0.0,2618.7241415390745,93.56599826388889,1.0,0.9734814814814815,0.02651851851851852,0.1655,0.11661111111111111,0.04877777777777778,0.7260214653511256,192.59730606281536,102.89342234253407,295.4392386564168,157.27020564551648,1.435856165806615
full,det_conflict,Greedy,3,0.12,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.1, 0.18, 0.28, 0.4, 0.55, 0.7, 0.85, 0.95]",0.9988795939936962,20000,2000,3,50000,5000,3,0.1621111111111111,0.12000000000000917,0.0,2618.7241415390745,134.6707488425926,1.0,0.9883888888888889,0.011611111111111112,0.1852962962962963,0.11855555555555554,0.06662962962962964,0.961558774354212,,,,,45.99793688740921
full,det_conflict,SRP-iso,3,0.12,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.1, 0.18, 0.28, 0.4, 0.55, 0.7, 0.85, 0.95]",0.9988795939936962,20000,2000,3,50000,5000,3,0.1621111111111111,0.12000000000000917,0.0,2618.7241415390745,122.10063744212964,1.0,0.931425925925926,0.06857407407407407,0.14974074074074073,0.11133333333333334,0.03837037037037037,0.1691049856470588,,,,,32.370550489955185
full,det_conflict,SRP-tandem-LB,3,0.12,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.1, 0.18, 0.28, 0.4, 0.55, 0.7, 0.85, 0.95]",0.9988795939936962,20000,2000,3,50000,5000,3,0.1621111111111111,0.12000000000000917,0.0,2618.7241415390745,125.59415509259259,0.8865555555555557,0.8392037037037037,0.1607962962962963,0.12025925925925925,0.10103703703703704,0.019185185185185184,0.7554021832389511,,,,,36.157908723505194
full,det_conflict,Joint FGMW,3,0.25,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.1, 0.18, 0.28, 0.4, 0.55, 0.7, 0.85, 0.95]",0.9988795939936962,20000,2000,3,50000,5000,3,0.1621111111111111,0.1621111111111111,285.4612617926905,0.0,59.148512152777776,1.0,0.6439074074074075,0.3560925925925926,0.1605,0.15955555555555556,0.0008518518518518519,0.4593431616182806,,,,,-0.2675100616841952
full,det_conflict,iso1 + iso2-lambda,3,0.25,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.1, 0.18, 0.28, 0.4, 0.55, 0.7, 0.85, 0.95]",0.9988795939936962,20000,2000,3,50000,5000,3,0.1621111111111111,0.1621111111111111,285.4612617926905,0.0,59.30716478587963,1.0,0.650537037037037,0.3494629629629629,0.16348148148148148,0.16246296296296298,0.0010555555555555557,0.1803283662798291,,,,,0.0
